address,name,instructions,known,unknown,blocks,literals,calls,dynamic_branches
0x8C008300,sub_8C008300,9,9,0,1,5,1,0
0x8C008330,sub_8C008330,18,18,0,3,5,0,0
0x8C00836C,sub_8C00836C,9,9,0,3,0,0,0
0x8C008380,sub_8C008380,13,13,0,1,4,0,0
0x8C0083A8,sub_8C0083A8,12,12,0,3,2,2,0
0x8C0083C0,sub_8C0083C0,20,20,0,4,2,0,0
0x8C0083F8,sub_8C0083F8,137,137,0,25,17,10,0
0x8C00853C,sub_8C00853C,50,50,0,11,17,10,0
0x8C0085CC,sub_8C0085CC,64,64,0,10,1,3,0
0x8C008652,sub_8C008652,106,106,0,12,5,2,0
0x8C0087FC,sub_8C0087FC,26,26,0,2,6,1,0
0x8C008844,sub_8C008844,43,43,0,3,9,2,0
0x8C0088B0,sub_8C0088B0,51,51,0,5,4,1,0
0x8C00892C,sub_8C00892C,42,42,0,5,3,0,0
0x8C00898C,sub_8C00898C,131,131,0,18,3,3,0
0x8C008AA0,sub_8C008AA0,14,14,0,2,3,1,0
0x8C008AD0,sub_8C008AD0,29,29,0,1,3,0,0
0x8C008B4C,sub_8C008B4C,14,14,0,2,2,1,0
0x8C008B68,sub_8C008B68,104,104,0,8,8,2,0
0x8C008C54,sub_8C008C54,113,113,0,8,6,7,0
0x8C008D4C,sub_8C008D4C,19,19,0,1,0,0,0
0x8C008D74,sub_8C008D74,247,247,0,30,3,11,0
0x8C008F70,sub_8C008F70,57,57,0,7,0,0,0
0x8C008FE8,sub_8C008FE8,7,7,0,1,0,0,0
0x8C008FFC,sub_8C008FFC,36,36,0,5,0,1,0
0x8C009074,sub_8C009074,10,10,0,2,0,1,0
0x8C00908C,sub_8C00908C,44,44,0,6,11,0,0
0x8C0090F8,sub_8C0090F8,105,105,0,7,25,1,0
0x8C009214,sub_8C009214,190,190,0,2,58,0,0
0x8C00940A,sub_8C00940A,27,27,0,4,4,0,0
0x8C009488,sub_8C009488,269,269,0,11,94,0,0
0x8C0097B4,sub_8C0097B4,52,52,0,12,6,4,0
0x8C009830,sub_8C009830,15,15,0,4,0,3,0
0x8C009858,sub_8C009858,49,49,0,13,2,1,0
0x8C0098CC,sub_8C0098CC,86,86,0,3,2,0,0
0x8C009980,sub_8C009980,80,80,0,3,2,0,0
0x8C009A28,sub_8C009A28,96,96,0,5,2,0,0
0x8C009AF0,sub_8C009AF0,88,88,0,5,2,0,0
0x8C009BA8,sub_8C009BA8,39,39,0,18,1,1,1
0x8C009BC6,sub_8C009BC6,33,33,0,1,0,0,0
0x8C009BCA,sub_8C009BCA,31,31,0,1,0,0,0
0x8C009BCE,sub_8C009BCE,29,29,0,1,0,0,0
0x8C009BD2,sub_8C009BD2,27,27,0,1,0,0,0
0x8C009BD6,sub_8C009BD6,25,25,0,1,0,0,0
0x8C009BDA,sub_8C009BDA,23,23,0,1,0,0,0
0x8C009BDE,sub_8C009BDE,21,21,0,1,0,0,0
0x8C009BE2,sub_8C009BE2,19,19,0,1,0,0,0
0x8C009BE6,sub_8C009BE6,17,17,0,1,0,0,0
0x8C009BEA,sub_8C009BEA,15,15,0,1,0,0,0
0x8C009BEE,sub_8C009BEE,13,13,0,1,0,0,0
0x8C009BF2,sub_8C009BF2,11,11,0,1,0,0,0
0x8C009BF6,sub_8C009BF6,9,9,0,1,0,0,0
0x8C009BFA,sub_8C009BFA,7,7,0,1,0,0,0
0x8C009BFE,sub_8C009BFE,5,5,0,1,0,0,0
0x8C009C02,sub_8C009C02,3,3,0,1,0,0,0
0x8C009C4C,sub_8C009C4C,8,8,0,2,1,1,0
0x8C009C60,sub_8C009C60,9,9,0,4,0,0,0
0x8C009C74,sub_8C009C74,37,37,0,9,1,1,0
0x8C009CC8,sub_8C009CC8,50,50,0,14,0,0,0
0x8C009DEC,sub_8C009DEC,19,19,0,1,4,0,0
0x8C009E12,sub_8C009E12,5,5,0,1,1,0,0
0x8C009E1C,sub_8C009E1C,4,4,0,1,0,0,0
0x8C009E24,sub_8C009E24,26,26,0,4,3,3,0
0x8C00B700,sub_8C00B700,23,23,0,9,2,1,0
0x8C00D820,sub_8C00D820,20,20,0,5,5,5,0
0x8C00D86C,sub_8C00D86C,12,12,0,1,1,1,0
0x8C00D888,sub_8C00D888,14,14,0,5,2,1,0
0x8C00D8AC,sub_8C00D8AC,4,4,0,1,1,1,0
0x8C00D8B8,sub_8C00D8B8,7,7,0,3,0,0,0
0x8C00D8C6,sub_8C00D8C6,16,16,0,5,0,1,0
0x8C00D8E8,sub_8C00D8E8,7,7,0,1,2,0,0
0x8C00D900,sub_8C00D900,22,22,0,7,5,3,0
0x8C00D940,sub_8C00D940,56,56,0,16,2,2,0
0x8C00D9AA,sub_8C00D9AA,3,3,0,1,0,0,0
0x8C00D9B0,sub_8C00D9B0,3,3,0,1,0,0,0
0x8C00D9B6,sub_8C00D9B6,3,3,0,1,0,0,0
0x8C00D9BC,sub_8C00D9BC,3,3,0,1,0,0,0
0x8C00D9C2,sub_8C00D9C2,3,3,0,1,0,0,0
0x8C00D9C8,sub_8C00D9C8,3,3,0,1,0,0,0
0x8C00D9CE,sub_8C00D9CE,3,3,0,1,0,0,0
0x8C00D9D4,sub_8C00D9D4,3,3,0,1,0,0,0
0x8C00D9DA,sub_8C00D9DA,3,3,0,1,0,0,0
0x8C00D9E0,sub_8C00D9E0,3,3,0,1,0,0,0
0x8C00DA0A,sub_8C00DA0A,3,3,0,1,0,0,0
0x8C00DAE0,sub_8C00DAE0,35,35,0,7,6,2,0
0x8C00DB40,sub_8C00DB40,43,43,0,13,3,5,0
0x8C00DB96,sub_8C00DB96,29,29,0,10,1,2,0
0x8C00DBE0,sub_8C00DBE0,6,6,0,1,1,1,0
0x8C00DBEC,sub_8C00DBEC,6,6,0,1,1,1,0
0x8C00DBF8,sub_8C00DBF8,6,6,0,1,1,1,0
0x8C00E000,sub_8C00E000,7,7,0,3,1,1,0
0x8C00E020,sub_8C00E020,57,57,0,8,14,4,0
0x8C00E0D0,sub_8C00E0D0,4,4,0,1,1,0,0
0x8C00E0DC,sub_8C00E0DC,11,11,0,2,3,0,0
0x8C00E140,sub_8C00E140,12,12,0,3,0,0,0
0x8C00E1A0,sub_8C00E1A0,51,51,0,12,4,8,0
0x8C00E206,sub_8C00E206,6,6,0,1,2,1,0
0x8C00E212,sub_8C00E212,22,22,0,7,2,0,0
0x8C00E29C,sub_8C00E29C,16,16,0,1,4,0,0
0x8C00E2BC,sub_8C00E2BC,18,18,0,3,1,0,0
0x8C00E2E0,sub_8C00E2E0,63,63,0,7,1,2,0
0x8C00E35E,sub_8C00E35E,58,58,0,10,4,1,0
0x8C010000,sub_8C010000,16,16,0,1,4,1,0
0x8C0110A0,sub_8C0110A0,12,12,0,1,3,0,0
0x8C011130,sub_8C011130,57,57,0,10,6,3,0
0x8C0111B0,sub_8C0111B0,72,72,0,10,5,1,0
0x8C011250,sub_8C011250,39,39,0,9,4,1,0
0x8C0112B0,sub_8C0112B0,3,3,0,1,1,0,0
0x8C011410,sub_8C011410,50,50,0,10,2,0,0
0x8C011490,sub_8C011490,18,18,0,3,1,0,0
0x8C011500,sub_8C011500,27,27,0,7,3,2,0
0x8C011550,sub_8C011550,39,39,0,17,4,0,0
0x8C0115F0,sub_8C0115F0,19,19,0,1,1,0,0
0x8C011620,sub_8C011620,22,22,0,3,4,0,0
0x8C011650,sub_8C011650,57,57,0,3,1,2,0
0x8C0116E0,sub_8C0116E0,19,19,0,3,2,0,0
0x8C011710,sub_8C011710,50,50,0,10,6,1,0
0x8C011790,sub_8C011790,20,20,0,3,6,2,0
0x8C0117C0,sub_8C0117C0,14,14,0,1,2,0,0
0x8C011810,sub_8C011810,29,29,0,6,2,0,0
0x8C011860,sub_8C011860,51,51,0,7,3,0,0
0x8C011930,sub_8C011930,82,82,0,19,1,0,0
0x8C0119F0,sub_8C0119F0,37,37,0,5,2,0,0
0x8C011A60,sub_8C011A60,12,12,0,3,3,1,0
0x8C011A90,sub_8C011A90,11,11,0,1,3,1,0
0x8C011AB0,sub_8C011AB0,3,3,0,1,1,0,0
0x8C011B00,sub_8C011B00,4,4,0,1,1,0,0
0x8C011B10,sub_8C011B10,27,27,0,7,6,0,0
0x8C011B60,sub_8C011B60,12,12,0,2,4,2,0
0x8C011D00,sub_8C011D00,77,77,0,2,3,2,0
0x8C011DD0,sub_8C011DD0,76,76,0,2,3,2,0
0x8C011E70,sub_8C011E70,4,4,0,1,1,1,0
0x8C011E80,sub_8C011E80,54,54,0,8,13,5,0
0x8C011F2E,sub_8C011F2E,217,217,0,33,40,12,0
0x8C011F30,sub_8C011F30,216,216,0,33,40,12,0
0x8C012160,sub_8C012160,2,2,0,1,0,0,0
0x8C012240,sub_8C012240,13,13,0,2,2,1,0
0x8C012260,sub_8C012260,12,12,0,3,2,0,0
0x8C0122A0,sub_8C0122A0,41,41,0,6,2,1,0
0x8C012300,sub_8C012300,9,9,0,3,1,0,0
0x8C012320,sub_8C012320,7,7,0,1,2,0,0
0x8C0123B0,sub_8C0123B0,3,3,0,1,1,1,0
0x8C012480,sub_8C012480,49,49,0,1,10,0,0
0x8C0124F0,sub_8C0124F0,3,3,0,1,1,0,0
0x8C012500,sub_8C012500,21,21,0,4,4,1,0
0x8C0125C0,sub_8C0125C0,31,31,0,11,3,1,0
0x8C012690,sub_8C012690,17,17,0,4,4,1,0
